model,condition,size,status,coord_is_baseline,coordinator_record,coordinator_valid,coordinator_quads,coordinator_deficit,coordinator_rms,static_record,static_quads,static_deficit,static_rms,within_5_percent,logical_attempts,native_calls
B61,all,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__all__uniform_0/result.json,510,14.880447140933725,0.035450213526909864,True,1,1
B61,all,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__all__allocated_0/result.json,508,13.161782918806546,0.03533867063217813,True,1,1
B61,simple_defect,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__simple_defect__uniform_0/result.json,510,14.880447140933725,0.035450213526909864,True,1,0
B61,simple_defect,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__simple_defect__allocated_0/result.json,508,13.161782918806546,0.03533867063217813,True,1,0
B70,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__uniform_0/result.json,498,79.26310410061623,0.06691284602659188,True,1,1
B70,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__none__allocated_0/result.json,462,62.57425223238996,0.052553526124125914,True,1,1
B70,all,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__all__uniform_0/result.json,478,21.73802124549377,0.04425611202679387,True,1,1
B70,all,allocated,equivalent,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__all__allocated_0/result.json,480,12.764874373876335,0.031056687734941486,True,1,0
B70,simple_defect,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__simple_defect__uniform_0/result.json,478,21.73802124549377,0.04425611202679387,True,1,0
B70,simple_defect,allocated,equivalent,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B70/full/initial_allocated_0/result.json,True,480,12.764874373876335,0.031056687734941486,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B70__simple_defect__allocated_0/result.json,480,12.764874373876335,0.031056687734941486,True,1,0
